iter	Accuracy	MultiClass
819	0.8808383992	0.4262697291
820	0.8808510638	0.4262685418
821	0.880914387	0.4260321682
822	0.8810536981	0.4259544983
823	0.8811043566	0.425797625
824	0.8810283688	0.425623783
825	0.8809903749	0.4256112173
826	0.8812056738	0.4250554573
827	0.8813703141	0.4249290582
828	0.8812816616	0.42484936
829	0.881408308	0.4247080207
830	0.8814209726	0.4246295593
831	0.8814969605	0.4243308519
832	0.8815222898	0.4241606213
833	0.8815729483	0.424149985
834	0.8815729483	0.4241484019
835	0.8817122594	0.4235626128
836	0.8821175279	0.4226572889
837	0.8821428571	0.4225353423
838	0.8820921986	0.4225249038
839	0.8821681864	0.4224430289
840	0.8823328267	0.421806235
841	0.8823708207	0.4217424665
842	0.8823834853	0.4217366784
843	0.8824214792	0.4216482238
844	0.8824974671	0.4213805348
845	0.8825987842	0.4212001132
846	0.8826494428	0.4208464927
847	0.8829407295	0.4204084742
848	0.8829280648	0.4203755264
849	0.8829533941	0.4202421519
850	0.8829154002	0.420037242
851	0.8829787234	0.4199215782
852	0.882991388	0.4196025875
853	0.882991388	0.4196010539
854	0.8833206687	0.4190381206
855	0.8832826748	0.4189911229
856	0.8833080041	0.4189815255
857	0.8835612969	0.4185269836
858	0.8835612969	0.4185259942
859	0.883662614	0.418356852
860	0.8836119554	0.4181731652
861	0.8836752786	0.4179330318
862	0.8837512665	0.4178532841
863	0.8837386018	0.4177912472
864	0.8837386018	0.4177392034
865	0.8838399189	0.4174801719
866	0.8840678825	0.4168636612
867	0.8842705167	0.4162072766
868	0.884295846	0.4161313877
869	0.8843465046	0.4157918665
870	0.8843338399	0.4157468972
871	0.8844604863	0.4154817313
872	0.8844984802	0.4152376401
873	0.8846757852	0.414911773
874	0.8848530902	0.4144432802
875	0.8848277609	0.4144423897
876	0.8851697062	0.4140494396
877	0.8851950355	0.4139189592
878	0.8851823708	0.4136173824
879	0.8852583587	0.4130784921
880	0.8852330294	0.4128348709
881	0.8852330294	0.4128336836
